KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: A significant majority of Florida’s child Medicaid enrollees have an eligibility code suggesting they came in through a medically-needy pathway. Those children age categorized as ""disabled"" based on their eligibility group even though they are under the age of 19. "
"Idaho: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Idaho: Though Idaho expanded Medicaid under the ACA in 2020, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Idaho: Though Idaho expanded Medicaid under the ACA in 2020, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Illinois: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Louisiana: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Maine: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Michigan: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Michigan: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Michigan: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Mississippi: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Missouri: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Nebraska: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Nebraska: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"New Jersey: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"New Jersey: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"New Jersey: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"New York: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"North Dakota: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"North Dakota: North Dakota's ACA expansion spending was significantly (>400%) higher in 2022 than in 2021. The DQ Atlas did not identify any issues with North Dakota's ACA expansion spending or enrollment in 2022 that might explain this increase."
"Oregon: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Oregon: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Oregon: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Oregon: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Oregon: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Pennsylvania: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Rhode Island: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"South Dakota: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"South Dakota: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Tennessee: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Tennessee: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Vermont: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Vermont: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Vermont: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Virginia: Though Virginia expanded Medicaid under the ACA in 2019, adult expansion enrollees primarily show up in the traditional adult eligibility group.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Virginia: Though Virginia expanded Medicaid under the ACA in 2019, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Virginia: Though Virginia expanded Medicaid under the ACA in 2019, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Washington: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Washington has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the ACA Expansion Adults group may be reported under the traditional adult eligibility group. Washington's ACA expansion adult enrollment is not reported here, but is included in national and state totals.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Washington: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Washington: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Washington: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Washington: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Wisconsin: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures."" This applies across all columns."
"Notes"
"Estimates here may not match other sources due to enrollment categorization differences and differences in measures of Medicaid spending. The spending data used in these estimates are from Medicaid claims which reflect spending at the time health care services are used or premium payments are made, whereas other measures of spending may reflect the timing of state payments to providers. Additionally, estimates here do not include prescription drug rebates and most supplemental payments to providers, which other Medicaid spending sources may include.  A small number of Medicaid enrollees whose eligibility group is unknown are not broken out into a separate column but are included in state and national totals. States with ""Unusable"" data quality according to the CMS DQ Atlas indicators ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"" and ""Medicaid Beneficiary Expenditures"" are not included in these tables and are not included in national totals. For more information on data quality issues that may lead to unusual spending or enrollment, see CMS DQ Atlas. Caution is recommended when comparing data between years since different states may be included in each year due to data quality. "
"Sources"
"KFF analysis of the T-MSIS Research Identifiable Files, 2023 (Preliminary)"
"*N/A:* Not Applicable. These states had not adopted the ACA Medicaid expansion as of the reporting year. *NSD:* Not Significant Data. Due to data security measures, the values of cells with fewer than 50 enrollees are not reported but are included in state and national totals. *DQ:* Data Quality. Data categorized as ""Unusable"" based on the DQ Atlas. These values are not included in the national totals, unless otherwise specified in a footnote. *Enrollees:* Individuals who are enrolled in Medicaid at any time during the calendar year. *Seniors:* Enrollees age 65 and older. *People with Disabilities:* Enrollees under age 65 who are reported as eligible due to a disability. *Adults:* Enrollees ages 19 to 64 who are not eligible due to a disability or newly eligible for Medicaid by the ACA Medicaid expansion. *Children:* Enrollees ages 18 and younger who are not eligible due to a disability. *ACA Expansion Adults:* Enrollees ages 19 to 64 who were made newly eligible for Medicaid by the ACA Medicaid expansion. "

"Medicaid Enrollees by Enrollment Group"
"Footnotes"
"Colorado: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: A significant majority of Florida’s child Medicaid enrollees have an eligibility code suggesting they came in through a medically-needy pathway. Those children age categorized as ""disabled"" based on their eligibility group even though they are under the age of 19. "
"Idaho: Though Idaho expanded Medicaid under the ACA in 2020, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Idaho: Though Idaho expanded Medicaid under the ACA in 2020, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Maine: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Missouri: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Nebraska: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"New Jersey: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"New Jersey: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"New Jersey: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"North Dakota: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"North Dakota: North Dakota's ACA expansion spending was significantly (>400%) higher in 2022 than in 2021. The DQ Atlas did not identify any issues with North Dakota's ACA expansion spending or enrollment in 2022 that might explain this increase."
"Oregon: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Rhode Island: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"South Dakota: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"South Dakota: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Tennessee: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Texas: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Vermont: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Vermont: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Vermont: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age."" This applies across all columns."
"Virginia: Though Virginia expanded Medicaid under the ACA in 2019, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Virginia: Though Virginia expanded Medicaid under the ACA in 2019, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Virginia: Though Virginia expanded Medicaid under the ACA in 2019, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Washington: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Washington has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the ACA Expansion Adults group may be reported under the traditional adult eligibility group. Washington's ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Notes"
"Enrollment data are rounded to the nearest 100. State totals may not sum to national total due to rounding. Enrollment estimates here may not match other sources due to enrollment categorization differences. A small number of Medicaid enrollees whose eligibility group is unknown are not broken out into a separate column but are included in state and national totals. States with ""Unusable"" data quality according to the CMS DQ Atlas indicators ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", and ""Age"" are not included in these tables and are not included in national totals. For more information on data quality issues that may lead to unusual spending or enrollment, see CMS DQ Atlas. Caution is recommended when comparing data between years since different states may be included in each year due to data quality. "
"Sources"
"KFF analysis of the T-MSIS Research Identifiable Files, 2023 (Preliminary)"
"Definitions"
"*N/A:* Not Applicable. These states had not adopted the ACA Medicaid expansion as of the reporting year. *NSD:* Not Significant Data. Due to data security measures, the values of cells with fewer than 50 enrollees are not reported but are included in state and national totals. *DQ:* Data Quality. Data categorized as ""Unusable"" based on the DQ Atlas. These values are not included in the national totals, unless otherwise specified in a footnote. *Enrollees:* Individuals who are enrolled in Medicaid at any time during the calendar year. *Seniors:* Enrollees age 65 and older. *People with Disabilities:* Enrollees under age 65 who are reported as eligible due to a disability. *Adults:* Enrollees ages 19 to 64 who are not eligible due to a disability or newly eligible for Medicaid by the ACA Medicaid expansion. *Children:* Enrollees ages 18 and younger who are not eligible due to a disability. *ACA Expansion Adults:* Enrollees ages 19 to 64 who were made newly eligible for Medicaid by the ACA Medicaid expansion. "

"Medicaid Spending per Enrollee (Full-Benefit)"
"Footnotes"
"Arkansas: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Arkansas: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Arkansas: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Colorado: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
