GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
01,Alabama,AL,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,52.61677658566091
02,Alaska,AK,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,40.5186013344597
04,Arizona,AZ,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,47.0819232601846
05,Arkansas,AR,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,42.268039534872116
06,California,CA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,59.081596443748936
08,Colorado,CO,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,53.95811101975713
09,Connecticut,CT,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.730962592314576
10,Delaware,DE,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,40.74002375744229
11,District of Columbia,DC,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,63.319329143223186
12,Florida,FL,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,56.019882837651934
13,Georgia,GA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,53.207031345114615
15,Hawaii,HI,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,46.67113893850778
16,Idaho,ID,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,48.97767239941818
17,Illinois,IL,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.99102584301748
18,Indiana,IN,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,45.613314230238714
19,Iowa,IA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,35.296488156980274
20,Kansas,KS,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,58.204442422869036
21,Kentucky,KY,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,47.666944880378566
22,Louisiana,LA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,46.047813643140294
23,Maine,ME,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,44.90669240185059
24,Maryland,MD,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,61.79393789260456
25,Massachusetts,MA,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,39.73195380284898
26,Michigan,MI,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,55.637355892365264
27,Minnesota,MN,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,41.15843913191933
28,Mississippi,MS,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,42.909787365029096
29,Missouri,MO,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.133775293817834
30,Montana,MT,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,52.45784940782958
31,Nebraska,NE,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,49.64272160594382
32,Nevada,NV,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,48.162406290778804
33,New Hampshire,NH,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,37.284364326902434
34,New Jersey,NJ,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,50.1462949511601
35,New Mexico,NM,2024,index_eq_living_arrangements,Community Living Arrangements Index (Equity),scorecard_index,CL,equity,scorecard,4,1,60.30425604014793
